time,χ,ϕ,p,e
5209.13,3.1415927,0.0,12.37,0.0001
5210.702,3.177717,0.036104973,12.367119,8.912906e-5
5212.275,3.213866,0.07223416,12.364235,7.8324374e-5
5213.847,3.2500172,0.108365156,12.361348,6.759265e-5
5215.4194,3.286182,0.14450917,12.358459,5.693056e-5
5216.992,3.3223712,0.18067746,12.355568,4.633483e-5
5218.5645,3.3585627,0.21684757,12.3526745,3.581206e-5
5220.137,3.394779,0.25304198,12.349777,2.535573e-5
5221.7095,3.4309976,0.2892382,12.346878,1.497235e-5
5223.2817,3.4672296,0.32544753,12.343977,4.658677e-6
5224.8545,3.5034864,0.36168113,12.341072,-5.5884448e-6
5226.427,3.5397453,0.39791656,12.338166,-1.5762638e-5
5227.999,3.5760179,0.434165,12.335258,-2.5867083e-5
5229.572,3.6123152,0.4704378,12.332345,-3.5904864e-5
5231.144,3.6486146,0.5067123,12.329431,-4.5869743e-5
5232.7163,3.6849275,0.54299986,12.326514,-5.576483e-5
5234.289,3.721265,0.5793117,12.323594,-6.559315e-5
5235.8613,3.7576048,0.61562526,12.320672,-7.5348595e-5
5237.434,3.7939692,0.651963,12.317746,-8.5037216e-5
5239.0063,3.8303356,0.68830246,12.314819,-9.465297e-5
5240.5786,3.8667154,0.7246548,12.31189,-0.00010419888
5242.1514,3.9031198,0.7610313,12.308957,-0.00011367785
5243.7236,3.9395263,0.7974095,12.306023,-0.000123084
5245.296,3.975946,0.8338004,12.303085,-0.00013242026
5246.8687,4.01239,0.8702154,12.300144,-0.00014168951
5248.441,4.048836,0.90663195,12.297202,-0.00015088597
5250.013,4.0852957,0.94306123,12.294257,-0.00016001251
5251.586,4.1217794,0.97951454,12.291308,-0.00016907195
5253.158,4.158265,1.0159692,12.288358,-0.00017805865
5254.731,4.194775,1.0524478,12.285404,-0.00018697817
5256.303,4.231287,1.0889277,12.282449,-0.00019582498
5257.8755,4.267812,1.1254202,12.27949,-0.00020460183
5259.448,4.304361,1.1619366,12.276528,-0.00021331145
5261.0205,4.3409114,1.1984541,12.273565,-0.00022194839
5262.593,4.3774753,1.2349842,12.270599,-0.00023051535
5264.1655,4.414063,1.2715379,12.26763,-0.00023901499
5265.738,4.4506526,1.3080928,12.264658,-0.000247442
5267.31,4.4872546,1.34466,12.261684,-0.00025579904
5268.883,4.523881,1.381251,12.258707,-0.00026408868
5270.455,4.5605087,1.4178429,12.255728,-0.00027230574
5272.0273,4.5971494,1.454447,12.252746,-0.0002804528
5273.6,4.633814,1.4910748,12.24976,-0.0002885324
5275.1724,4.67048,1.5277034,12.246773,-0.0002965395
5276.745,4.7071695,1.5643556,12.243782,-0.00030447906
5278.3174,4.7438607,1.6010087,12.240789,-0.00031234618
5279.8896,4.7805643,1.6376739,12.237794,-0.00032014327
5281.4624,4.817292,1.6743624,12.234795,-0.00032787278
5283.0347,4.854021,1.7110518,12.231794,-0.00033552988
5284.607,4.8907623,1.7477534,12.228791,-0.000343117
5286.1797,4.9275274,1.7844783,12.225784,-0.00035063643
5287.752,4.964294,1.821204,12.222775,-0.00035808358
5289.324,5.001073,1.8579416,12.219765,-0.0003654607
5290.897,5.0378757,1.8947028,12.216749,-0.00037277013
5292.469,5.07468,1.9314644,12.213733,-0.0003800073
5294.042,5.1115074,1.9682497,12.2107115,-0.0003871767
5295.6143,5.1483364,2.0050354,12.207689,-0.0003942739
5297.1865,5.185178,2.0418334,12.204664,-0.00040130113
5298.7593,5.222043,2.0786545,12.201636,-0.0004082606
5300.3315,5.2589097,2.1154766,12.198606,-0.0004151479
5301.904,5.2957883,2.1523104,12.195573,-0.00042196523
5303.4766,5.332691,2.189168,12.192536,-0.00042871473
5305.049,5.3695955,2.226026,12.189497,-0.00043539217
5306.621,5.406512,2.2628963,12.186456,-0.0004419997
5308.194,5.443453,2.2997901,12.183412,-0.00044853933
5309.766,5.4803944,2.3366847,12.180365,-0.00045500702
5311.339,5.51736,2.3736026,12.177314,-0.00046140677
5312.911,5.5543275,2.4105215,12.174262,-0.00046773464
5314.4834,5.591307,2.4474528,12.171207,-0.00047399264
5316.056,5.628311,2.4844077,12.168148,-0.00048018267
5317.6284,5.6653166,2.5213633,12.165088,-0.0004863009
5319.2007,5.7023344,2.5583313,12.1620245,-0.00049234927
5320.7734,5.739377,2.5953233,12.1589575,-0.0004983297
5322.3457,5.776421,2.632316,12.1558895,-0.0005042384
5323.918,5.813478,2.6693215,12.152818,-0.0005100773
5325.4907,5.8505597,2.706351,12.149742,-0.0005158482
5327.063,5.8876424,2.7433815,12.146666,-0.0005215475
5328.6357,5.9247503,2.7804363,12.143585,-0.0005271788
5330.208,5.9618597,2.8174922,12.140502,-0.0005327386
5331.7803,5.9989824,2.854561,12.137417,-0.0005382286
5333.353,6.03613,2.8916543,12.134327,-0.00054365053
5334.9253,6.07328,2.928749,12.131236,-0.00054900115
5336.4976,6.1104426,2.9658566,12.128142,-0.00055428204
5338.0703,6.1476307,3.0029888,12.125045,-0.0005594949
5339.6426,6.184821,3.0401227,12.121945,-0.00056463643
